,city,latitude,longitude,max_temperature,cloudiness,wind_speed,humidity,country,date
0,Punta Arenas,-53.15,-70.9167,42.8,0,3.44,75,CL,1619326413
1,Praia,14.9215,-23.5087,69.8,75,12.66,73,CV,1619326413
2,Rikitea,-23.1203,-134.9692,78.66,100,12.82,76,PF,1619326414
3,Kuytun,54.3419,101.5036,43.41,97,8.7,55,RU,1619326414
4,Yining,29.0361,114.5636,61.52,100,3.71,91,CN,1619326414
5,Grand Island,40.925,-98.342,52.0,1,6.91,54,US,1619326415
6,Fengzhen,40.4394,113.1536,59.45,96,15.35,39,CN,1619326415
7,Esperance,-33.8667,121.9,80.6,29,11.5,29,AU,1619326416
8,Mlonggo,-6.5333,110.7,89.6,20,10.36,58,ID,1619326416
9,Amahai,-3.3333,128.9167,85.62,50,6.87,64,ID,1619326417
10,Charlestown,-32.95,151.6667,70.0,22,7.67,73,AU,1619326417
11,Sabha,27.0377,14.4283,62.02,0,13.67,56,LY,1619326417
12,Busselton,-33.65,115.3333,73.99,1,1.99,64,AU,1619326358
13,Bredasdorp,-34.5322,20.0403,48.2,100,1.14,93,ZA,1619326363
14,eMkhomazi,-30.2067,30.7978,66.99,51,1.01,87,ZA,1619326418
15,Puerto Ayora,-0.7393,-90.3518,75.16,92,6.53,89,EC,1619326338
16,Jumla,29.2747,82.1838,65.95,0,4.38,13,NP,1619326419
17,Vila do Maio,15.1333,-23.2167,69.8,75,12.66,73,CV,1619326419
18,Butaritari,3.0707,172.7902,83.34,79,8.81,73,KI,1619326419
19,Mataura,-46.1927,168.8643,45.0,38,10.0,80,NZ,1619326420
20,Linares,-35.85,-71.6,49.64,0,2.75,59,CL,1619326420
21,Andenes,69.3143,16.1194,33.8,90,3.44,80,NO,1619326421
22,Hohhot,40.8106,111.6522,57.2,40,8.95,47,CN,1619326421
23,Thompson,55.7435,-97.8558,24.8,75,3.44,54,CA,1619326422
24,Muzhi,65.3667,64.6667,39.4,92,11.23,78,RU,1619326422
25,Geraldton,-28.7667,114.6,86.0,91,11.5,30,AU,1619326423
26,Grand Gaube,-20.0064,57.6608,79.0,99,10.0,81,MU,1619326423
27,Zarubino,42.63,131.0922,53.35,4,5.55,38,RU,1619326423
28,Coquimbo,-29.9533,-71.3436,53.6,0,5.75,82,CL,1619326424
29,Kartaly,53.0522,60.6467,49.78,28,9.26,61,RU,1619326424
30,Shibata,37.95,139.3333,51.8,75,18.41,82,JP,1619326425
31,Castro,-24.7911,-50.0119,57.6,90,2.46,84,BR,1619326425
32,Vaini,-21.2,-175.2,82.4,20,5.75,78,TO,1619326426
33,Albany,42.6001,-73.9662,53.01,100,2.17,51,US,1619326146
34,Matara,5.9485,80.5353,87.24,41,2.71,63,LK,1619326426
35,Vestmannaeyjar,63.4427,-20.2734,44.42,100,21.16,92,IS,1619326426
36,Hermanus,-34.4187,19.2345,61.0,100,1.99,83,ZA,1619326427
37,Kholtoson,50.2981,103.3097,35.64,100,4.47,97,RU,1619326427
38,Kavaratti,10.5669,72.642,84.79,26,4.43,66,IN,1619326428
39,Puri,19.8,85.85,95.0,20,3.44,46,IN,1619326428
40,Barrow,71.2906,-156.7887,26.6,1,9.22,80,US,1619326428
41,Jamestown,42.097,-79.2353,48.2,90,5.75,53,US,1619326230
42,Houndé,11.5,-3.5167,81.73,14,10.83,59,BF,1619326429
43,Araure,9.5601,-69.2148,73.4,46,6.91,88,VE,1619326429
44,Aykhal,66.0,111.5,32.23,100,12.5,94,RU,1619326430
45,Hilo,19.7297,-155.09,73.4,90,7.4,78,US,1619326430
46,Neiafu,-18.65,-173.9833,82.4,40,3.44,74,TO,1619326430
47,Laredo,27.5064,-99.5075,80.6,1,6.91,18,US,1619326431
48,Ushuaia,-54.8,-68.3,44.6,0,6.91,70,AR,1619326431
49,San Matías,-16.3667,-58.4,72.39,98,4.18,93,BO,1619326432
50,Hithadhoo,-0.6,73.0833,83.46,18,5.39,67,MV,1619326432
51,Saint Paul Harbor,57.79,-152.4072,39.2,90,11.5,93,US,1619326433
52,Sabang,5.8933,95.3214,83.17,100,10.4,71,ID,1619326433
53,Klaksvík,62.2266,-6.589,39.2,99,4.7,93,FO,1619326433
54,Constitución,-35.3333,-72.4167,56.34,0,7.43,60,CL,1619326256
55,Ponta do Sol,32.6667,-17.1,59.0,93,5.99,88,PT,1619326434
56,Marsh Harbour,26.5412,-77.0636,76.3,97,14.12,85,BS,1619326434
57,Port Alfred,-33.5906,26.891,63.82,49,9.31,68,ZA,1619326375
58,Tanete,-3.9443,119.7848,93.56,7,6.53,44,ID,1619326435
59,Chui,-33.6971,-53.4616,63.52,96,12.44,85,UY,1619326435
60,Cape Town,-33.9258,18.4232,57.2,0,4.61,94,ZA,1619326177
61,East London,-33.0153,27.9116,59.0,0,8.05,72,ZA,1619326436
62,Tuatapere,-46.1333,167.6833,45.0,44,10.0,80,NZ,1619326436
63,Pisco,-13.7,-76.2167,66.2,0,0.92,82,PE,1619326437
64,Ust-Kuyga,70.0167,135.6,32.83,100,9.73,94,RU,1619326437
65,Longyearbyen,78.2186,15.6401,23.0,75,2.3,80,SJ,1619326438
66,Touba,8.2833,-7.6833,71.4,100,6.4,90,CI,1619326438
67,Esim,4.8699,-2.2405,78.44,100,10.09,82,GH,1619326439
68,Lompoc,34.6391,-120.4579,50.0,100,3.44,87,US,1619326439
69,Kapaa,22.0752,-159.319,75.2,40,14.97,73,US,1619326206
70,Limbang,4.75,115.0,87.01,75,12.66,79,MY,1619326439
71,Governador Valadares,-18.8511,-41.9494,67.66,0,0.36,91,BR,1619326440
72,Atuona,-9.8,-139.0333,80.31,39,13.98,77,PF,1619326440
73,Palmer,42.1584,-72.3287,53.6,1,4.61,43,US,1619326441
74,Kruisfontein,-34.0033,24.7314,60.78,20,5.84,61,ZA,1619326441
75,Sørland,67.667,12.6934,36.57,88,16.98,57,NO,1619326442
76,Whyalla,-33.0333,137.5833,69.8,0,11.5,52,AU,1619326442
77,Bengkulu,-3.8004,102.2655,84.47,57,6.96,66,ID,1619326442
78,Plymouth,41.8334,-70.8328,53.6,1,4.61,47,US,1619326443
